show_id,type,title,director_id,date_added,release_year,rating,duration,description,year_added,month_added
s1,movie,dick johnson is dead,1,2021-09-25,2020,pg-13,90 min,"as her father nears the end of his life, filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021,9
s2,tv show,blood & water,2,2021-09-24,2021,tv-ma,2 Seasons,"after crossing paths at a party, a cape town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021,9
s3,tv show,ganglands,3,2021-09-24,2021,tv-ma,1 Season,"to protect his family from a powerful drug lord, skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021,9
s4,tv show,jailbirds new orleans,2,2021-09-24,2021,tv-ma,1 Season,"feuds, flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series.",2021,9
s5,tv show,kota factory,2,2021-09-24,2021,tv-ma,2 Seasons,"in a city of coaching centers known to train india’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021,9
s6,tv show,midnight mass,4,2021-09-24,2021,tv-ma,1 Season,"the arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021,9
s7,movie,my little pony: a new generation,5,2021-09-24,2021,pg,91 min,"equestria's divided. but a bright-eyed hero believes earth ponies, pegasi and unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021,9
s8,movie,sankofa,6,2021-09-24,1993,tv-ma,125 min,"on a photo shoot in ghana, an american model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021,9
s9,tv show,the great british baking show,7,2021-09-24,2021,tv-14,9 Seasons,"a talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the u.k.'s best.",2021,9
s10,movie,the starling,8,2021-09-24,2021,pg-13,104 min,a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021,9
s11,tv show,"vendetta: truth, lies and the mafia",2,2021-09-24,2021,tv-ma,1 Season,"sicily boasts a bold ""anti-mafia"" coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021,9
s12,tv show,bangkok breaking,9,2021-09-23,2021,tv-ma,1 Season,"struggling to earn a living in bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021,9
s13,movie,je suis karl,10,2021-09-23,2021,tv-ma,127 min,"after most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,9
s14,movie,confessions of an invisible girl,11,2021-09-22,2021,tv-pg,91 min,"when the clever but socially-awkward tetê joins a new school, she'll do anything to fit in. but the queen bee among her classmates has other ideas.",2021,9
s15,tv show,crime stories: india detectives,2,2021-09-22,2021,tv-ma,1 Season,cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021,9
s16,tv show,dear white people,2,2021-09-22,2021,tv-ma,4 Seasons,"students of color navigate the daily slights and slippery politics of life at an ivy league college that's not nearly as ""post-racial"" as it thinks.",2021,9
